x,y,z
-50,50,0
-49.9895,50,0
-49.9589,50,0
-49.9096,50,0
-49.8428,50,0
-49.7598,50,0
-49.662,50,0
-49.5507,50,0
-49.4272,50,0
-49.2928,50,0
-49.1488,50,0
-48.9966,50,0
-48.8374,50,0
-48.6727,50,0
-48.5036,50,0
-48.3315,50,0
-48.1577,50,0
-47.9836,50,0
-47.8105,50,0
-47.6396,50,0
-47.4723,50,0
-47.3098,50,0
-47.1529,50,0
-47.0013,50,0
-46.8546,50,0
-46.7124,50,0
-46.5744,50,0
-46.4403,50,0
-46.3097,50,0
-46.1822,50,0
-46.0574,50,0
-45.9352,50,0
-45.815,50,0
-45.6965,50,0
-45.5794,50,0
-45.4634,50,0
-45.348,50,0
-45.2329,50,0
-45.1178,50,0
-45.0023,50,0
-44.8861,50,0
-44.7688,50,0
-44.6501,50,0
-44.5299,50,0
-44.4084,50,0
-44.2855,50,0
-44.1615,50,0
-44.0364,50,0
-43.9103,50,0
-43.7833,50,0
-43.6554,50,0
-43.5269,50,0
-43.3978,50,0
-43.2681,50,0
-43.138,50,0
-43.0075,50,0
-42.8769,50,0
-42.746,50,0
-42.6152,50,0
-42.4843,50,0
-42.3536,50,0
-42.2232,50,0
-42.093,50,0
-41.9633,50,0
-41.8339,50,0
-41.7049,50,0
-41.5763,50,0
-41.4479,50,0
-41.3198,50,0
-41.192,50,0
-41.0644,50,0
-40.9371,50,0
-40.8099,50,0
-40.6828,50,0
-40.5559,50,0
-40.4291,50,0
-40.3024,50,0
-40.1757,50,0
-40.0491,50,0
-39.9225,50,0
-39.7958,50,0
-39.6691,50,0
-39.5423,50,0
-39.4155,50,0
-39.2885,50,0
-39.1614,50,0
-39.0343,50,0
-38.907,50,0
-38.7797,50,0
-38.6523,50,0
-38.5248,50,0
-38.3973,50,0
-38.2697,50,0
-38.142,50,0
-38.0144,50,0
-37.8867,50,0
-37.7589,50,0
-37.6312,50,0
-37.5034,50,0
-37.3757,50,0
-37.2479,50,0
-37.1201,50,0
-36.9924,50,0
-36.8647,50,0
-36.737,50,0
-36.6093,50,0
-36.4817,50,0
-36.354,50,0
-36.2265,50,0
-36.0989,50,0
-35.9713,50,0
-35.8438,50,0
-35.7163,50,0
-35.5888,50,0
-35.4613,50,0
-35.3338,50,0
-35.2063,50,0
-35.0788,50,0
-34.9514,50,0
-34.8239,50,0
-34.6964,50,0
-34.569,50,0
-34.4415,50,0
-34.314,50,0
-34.1866,50,0
-34.0591,50,0
-33.9316,50,0
-33.8041,50,0
-33.6766,50,0
-33.5491,50,0
-33.4215,50,0
-33.294,50,0
-33.1665,50,0
-33.039,50,0
-32.9114,50,0
-32.7839,50,0
-32.6563,50,0
-32.5288,50,0
-32.4013,50,0
-32.2737,50,0
-32.1462,50,0
-32.0186,50,0
-31.8911,50,0
-31.7635,50,0
-31.636,50,0
-31.5085,50,0
-31.3809,50,0
-31.2534,50,0
-31.1258,50,0
-30.9983,50,0
-30.8708,50,0
-30.7433,50,0
-30.6157,50,0
-30.4882,50,0
-30.3607,50,0
-30.2331,50,0
-30.1056,50,0
-29.9781,50,0
-29.8506,50,0
-29.723,50,0
-29.5955,50,0
-29.468,50,0
-29.3405,50,0
-29.213,50,0
-29.0854,50,0
-28.9579,50,0
-28.8304,50,0
-28.7029,50,0
-28.5753,50,0
-28.4478,50,0
-28.3203,50,0
-28.1927,50,0
-28.0652,50,0
-27.9377,50,0
-27.8102,50,0
-27.6826,50,0
-27.5551,50,0
-27.4276,50,0
-27.3001,50,0
-27.1725,50,0
-27.045,50,0
-26.9175,50,0
-26.7899,50,0
-26.6624,50,0
-26.5349,50,0
-26.4073,50,0
-26.2798,50,0
-26.1523,50,0
-26.0248,50,0
-25.8972,50,0
-25.7697,50,0
-25.6422,50,0
-25.5146,50,0
-25.3871,50,0
-25.2596,50,0
-25.1321,50,0
-25.0045,50,0
-24.877,50,0
-24.7495,50,0
-24.622,50,0
-24.4944,50,0
-24.3669,50,0
-24.2394,50,0
-24.1118,50,0
-23.9843,50,0
-23.8568,50,0
-23.7293,50,0
-23.6017,50,0
-23.4742,50,0
-23.3467,50,0
-23.2192,50,0
-23.0916,50,0
-22.9641,50,0
-22.8366,50,0
-22.709,50,0
-22.5815,50,0
-22.454,50,0
-22.3265,50,0
-22.1989,50,0
-22.0714,50,0
-21.9439,50,0
-21.8163,50,0
-21.6888,50,0
-21.5613,50,0
-21.4338,50,0
-21.3062,50,0
-21.1787,50,0
-21.0512,50,0
-20.9236,50,0
-20.7961,50,0
-20.6686,50,0
-20.5411,50,0
-20.4135,50,0
-20.286,50,0
-20.1585,50,0
-20.031,50,0
-19.9034,50,0
-19.7759,50,0
-19.6484,50,0
-19.5208,50,0
-19.3933,50,0
-19.2658,50,0
-19.1383,50,0
-19.0107,50,0
-18.8832,50,0
-18.7557,50,0
-18.6281,50,0
-18.5006,50,0
-18.3731,50,0
-18.2456,50,0
-18.118,50,0
-17.9905,50,0
-17.863,50,0
-17.7355,50,0
-17.6079,50,0
-17.4804,50,0
-17.3529,50,0
-17.2253,50,0
-17.0978,50,0
-16.9703,50,0
-16.8428,50,0
-16.7152,50,0
-16.5877,50,0
-16.4602,50,0
-16.3326,50,0
-16.2051,50,0
-16.0776,50,0
-15.9501,50,0
-15.8225,50,0
-15.695,50,0
-15.5675,50,0
-15.44,50,0
-15.3124,50,0
-15.1849,50,0
-15.0574,50,0
-14.9298,50,0
-14.8023,50,0
-14.6748,50,0
-14.5473,50,0
-14.4197,50,0
-14.2922,50,0
-14.1647,50,0
-14.0371,50,0
-13.9096,50,0
-13.7821,50,0
-13.6546,50,0
-13.527,50,0
-13.3995,50,0
-13.272,50,0
-13.1445,50,0
-13.0169,50,0
-12.8894,50,0
-12.7619,50,0
-12.6343,50,0
-12.5068,50,0
-12.3793,50,0
-12.2518,50,0
-12.1242,50,0
-11.9967,50,0
-11.8692,50,0
-11.7416,50,0
-11.6141,50,0
-11.4866,50,0
-11.3591,50,0
-11.2315,50,0
-11.104,50,0
-10.9765,50,0
-10.8489,50,0
-10.7214,50,0
-10.5939,50,0
-10.4664,50,0
-10.3388,50,0
-10.2113,50,0
-10.0838,50,0
-9.95625,50,0
-9.82873,50,0
-9.7012,50,0
-9.57367,50,0
-9.44614,50,0
-9.31861,50,0
-9.19109,50,0
-9.06356,50,0
-8.93603,50,0
-8.8085,50,0
-8.68098,50,0
-8.55345,50,0
-8.42592,50,0
-8.29839,50,0
-8.17086,50,0
-8.04334,50,0
-7.91581,50,0
-7.78828,50,0
-7.66075,50,0
-7.53323,50,0
-7.4057,50,0
-7.27817,50.0001,0
-7.15064,50.0001,0
-7.02311,50.0001,0
-6.89559,50.0001,0
-6.76806,50.0001,0
-6.64053,50.0001,0
-6.513,50.0001,0
-6.38547,50.0001,0
-6.25795,50.0001,0
-6.13042,50.0001,0
-6.00289,50.0001,0
-5.87536,50.0001,0
-5.74784,50.0001,0
-5.62031,50.0001,0
-5.49278,50,0
-5.36525,50,0
-5.23772,50,0
-5.1102,50,0
-4.98267,49.9999,0
-4.85514,49.9999,0
-4.72761,49.9998,0
-4.60008,49.9998,0
-4.47256,49.9997,0
-4.34503,49.9997,0
-4.2175,49.9997,0
-4.08997,49.9996,0
-3.96244,49.9996,0
-3.83492,49.9996,0
-3.70739,49.9996,0
-3.57986,49.9996,0
-3.45233,49.9996,0
-3.32481,49.9996,0
-3.19728,49.9996,0
-3.06975,49.9997,0
-2.94222,49.9998,0
-2.81469,49.9998,0
-2.68717,50,0
-2.55964,50.0001,0
-2.43211,50.0002,0
-2.30458,50.0004,0
-2.17706,50.0005,0
-2.04953,50.0007,0
-1.922,50.0009,0
-1.79447,50.001,0
-1.66695,50.0012,0
