x,y,z,radius
0,0,0,2
0.2134,0,0,2
0.4268,0,0,2
0.6402,0,0,2
0.8536,0,0,2
1.067,0,0,2
1.2804,0,0,2
1.4938,0,0,2
1.7072,0,0,2
1.9206,0,0,2
2.134,0,0,2
2.3474,0,0,2
2.5608,0,0,2
2.7742,0,0,2
2.9876,0,0,2
3.201,0,0,2
3.4144,0,0,2
3.6278,0,0,2
3.8412,0,0,2
4.0546,0,0,2
4.268,0,0,2
4.4814,0,0,2
4.6948,0,0,2
4.9082,0,0,2
5.1216,0,0,2
5.335,0,0,2
5.5484,0,0,2
5.7618,0,0,2
5.9752,0,0,2
6.1886,0,0,2
6.402,0,0,2
6.6154,0,0,2
6.8288,0,0,2
7.0422,0,0,2
7.2556,0,0,2
7.469,0,0,2
7.6824,0,0,2
7.8958,0,0,2
8.1092,0,0,2
8.3226,0,0,2
8.536,0,0,2
8.7494,0,0,2
8.9628,0,0,2
9.1762,0,0,2
9.3896,0,0,2
9.603,0,0,2
9.8164,0,0,2
10.0298,0,0,2
10.2432,0,0,2
10.4566,0,0,2
10.67,0,0,2
10.8834,0,0,2
11.0968,0,0,2
11.3102,0,0,2
11.5236,0,0,2
11.737,0,0,2
11.9504,0,0,2
12.1638,0,0,2
12.3772,0,0,2
12.5906,0,0,2
12.804,0,0,2
13.0174,0,0,2
13.2308,0,0,2
13.4442,0,0,2
13.6576,0,0,2
13.871,0,0,2
14.0844,0,0,2
14.2978,0,0,2
14.5112,0,0,2
14.7246,0,0,2
14.938,0,0,2
15.1514,0,0,2
15.3648,0,0,2
15.5782,0,0,2
15.7916,0,0,2
16.005,0,0,2
16.2184,0,0,2
16.4318,0,0,2
16.6452,0,0,2
16.8586,0,0,2
17.072,0,0,2
17.2854,0,0,2
17.4988,0,0,2
17.7122,0,0,2
17.9256,0,0,2
18.139,0,0,2
18.3524,0,0,2
18.5658,0,0,2
18.7792,0,0,2
18.9926,0,0,2
19.206,0,0,2
19.4194,0,0,2
19.6328,0,0,2
19.8462,0,0,2
20.0596,0,0,2
20.273,0,0,2
20.4864,0,0,2
20.6998,0,0,2
20.9132,0,0,2
21.1266,0,0,2
21.34,0,0,2
21.5534,0,0,2
21.7668,0,0,2
21.9802,0,0,2
22.1936,0,0,2
22.407,0,0,2
22.6204,0,0,2
22.8338,0,0,2
23.0472,0,0,2
23.2606,0,0,2
23.474,0,0,2
23.6874,0,0,2
23.9008,0,0,2
24.1142,0,0,2
24.3276,0,0,2
24.541,0,0,2
24.7544,0,0,2
24.9678,0,0,2
25.1812,0,0,2
25.3946,0,0,2
25.608,0,0,2
25.8214,0,0,2
26.0348,0,0,2
26.2482,0,0,2
26.4616,0,0,2
26.675,0,0,2
26.8884,0,0,2
27.1018,0,0,2
27.3152,0,0,2
27.5286,0,0,2
27.742,0,0,2
27.9554,0,0,2
28.1688,0,0,2
28.3822,0,0,2
28.5956,0,0,2
28.809,0,0,2
29.0224,0,0,2
29.2358,0,0,2
29.4492,0,0,2
29.6626,0,0,2
29.876,0,0,2
30.0894,0,0,2
30.3028,0,0,2
30.5162,0,0,2
30.7296,0,0,2
30.943,0,0,2
31.1564,0,0,2
31.3698,0,0,2
31.5832,0,0,2
31.7966,0,0,2
32.01,0,0,2
32.2234,0,0,2
32.4368,0,0,2
32.6502,0,0,2
32.8636,0,0,2
33.077,0,0,2
33.2904,0,0,2
33.5038,0,0,2
33.7172,0,0,2
33.9306,0,0,2
34.144,0,0,2
34.3574,0,0,2
34.5708,0,0,2
34.7842,0,0,2
34.9976,0,0,2
35.211,0,0,2
35.4244,0,0,2
35.6378,0,0,2
35.8512,0,0,2
36.0646,0,0,2
36.278,0,0,2
36.4914,0,0,2
36.7048,0,0,2
36.9182,0,0,2
37.1316,0,0,2
37.345,0,0,2
37.5584,0,0,2
37.7718,0,0,2
37.9852,0,0,2
38.1986,0,0,2
38.412,0,0,2
38.6254,0,0,2
38.8388,0,0,2
39.0522,0,0,2
39.2656,0,0,2
39.479,0,0,2
39.6924,0,0,2
39.9058,0,0,2
40.1192,0,0,2
40.3326,0,0,2
40.546,0,0,2
40.7594,0,0,2
40.9728,0,0,2
41.1862,0,0,2
