x,y,z,radius
-10,0,15,5
-9.476507549,0,15,5
-8.952935356,0,15,5
-8.429363163,0,15,5
-7.90579097,0,15,5
-7.382218777,0,15,5
-6.858646584,0,15,5
-6.335074391,0,15,5
-5.811502198,0,15,5
-5.287930005,0,15,5
-4.764357811,0,15,5
-4.240785618,0,15,5
-3.717213425,0,15,5
-3.193641232,0,15,5
-2.670069039,0,15,5
-2.146496846,0,15,5
-1.622924653,0,15,5
-1.09935246,0,15,5
-0.575780266,0,15,5
-0.052208073,0,15,5
0.47136412,0,15,5
0.994936313,0,15,5
1.518508506,0,15,5
2.042080699,0,15,5
2.565652892,0,15,5
3.089225085,0,15,5
3.612797279,0,15,5
4.136369472,0,15,5
4.659941665,0,15,5
5.183513858,0,15,5
5.707086051,0,15,5
6.230658244,0,15,5
6.754230437,0,15,5
7.27780263,0,15,5
7.801374823,0,15,5
8.324947017,0,15,5
8.84851921,0,15,5
9.372091403,0,15,5
9.895663596,0,15,5
10.41923579,0,15,5
10.94280798,0,15,5
11.46638018,0,15,5
11.98995237,0,15,5
12.51352456,0,15,5
13.03709675,0,15,5
13.56066895,0,15,5
14.08424114,0,15,5
14.60781333,0,15,5
15.13138553,0,15,5
15.65495772,0,15,5
16.17852991,0,15,5
16.70210211,0,15,5
17.2256743,0,15,5
17.74924649,0,15,5
18.27281869,0,15,5
18.79639088,0,15,5
19.31996307,0,15,5
19.84353527,0,15,5
20.36710746,0,15,5
20.89067965,0,15,5
21.41425184,0,15,5
21.93782404,0,15,5
22.46139623,0,15,5
22.98496842,0,15,5
23.50854062,0,15,5
24.03211281,0,15,5
24.555685,0,15,5
25.0792572,0,15,5
25.60282939,0,15,5
26.12640158,0,15,5
26.64997378,0,15,5
27.17354597,0,15,5
27.69711816,0,15,5
28.22069036,0,15,5
28.74426255,0,15,5
29.26783474,0,15,5
29.79140693,0,15,5
30.31497913,0,15,5
30.83855132,0,15,5
31.36212351,0,15,5
31.88569571,0,15,5
32.4092679,0,15,5
32.93284009,0,15,5
33.45641229,0,15,5
33.97998448,0,15,5
34.50355667,0,15,5
35.02712887,0,15,5
35.55070106,0,15,5
36.07427325,0,15,5
36.59784544,0,15,5
37.12141764,0,15,5
37.64498983,0,15,5
38.16848228,0,15,5
