x,y,z,radius
123.515,259.982,367.831,3.091718513
123.3774118,260.0604679,367.4283899,3.099953029
123.2404334,260.1381809,367.0254258,3.112701195
123.1050215,260.2156288,366.6218817,3.130158479
122.9714108,260.2931091,366.2177437,3.146939192
122.8389381,260.3697137,365.8130659,3.165121385
122.7096312,260.4461481,365.407332,3.18363876
122.5817681,260.5223671,365.0011015,3.201606084
122.456651,260.5978333,364.5938764,3.217920744
122.3337368,260.6731123,364.1859455,3.234167317
122.2115955,260.7484328,363.7777899,3.246521862
122.0895108,260.8237184,363.3696111,3.255381054
121.9673692,260.8988982,362.96143,3.260315314
121.8440002,260.9741966,362.5536402,3.259670139
121.7190016,261.0497991,362.146405,3.258077233
121.5913829,261.1260337,361.7401005,3.250017947
121.4612517,261.2026529,361.3346685,3.237000041
121.3272841,261.2803639,360.9307001,3.220263913
121.1886105,261.3590315,360.5285075,3.20046087
121.0450467,261.4387607,360.1282505,3.17890191
120.8952885,261.519516,359.7304783,3.156721987
120.7389752,261.6016711,359.335528,3.133331459
120.5755688,261.6854169,358.9437992,3.113416003
120.404941,261.7701916,358.5553809,3.096896041
120.2266527,261.8566587,358.1708125,3.085778073
120.0403204,261.9451692,357.790531,3.079316642
119.8471206,262.0345655,357.4139013,3.076196377
119.6477917,262.1256625,357.0408862,3.077668792
119.4436424,262.2187135,356.6709663,3.081620424
119.2351645,262.3136391,356.3039519,3.087617146
119.0229569,262.4104703,355.9395747,3.094784117
118.8083594,262.5087229,355.5769802,3.099326242
118.592119,262.6092989,355.2160039,3.10428616
118.3743585,262.7119132,354.8565154,3.107690981
118.1560192,262.816532,354.4979581,3.109863295
117.9381506,262.9236808,354.1398607,3.113229341
117.7210713,263.0329452,353.7819233,3.115578739
117.5054369,263.1447413,353.423897,3.116408515
117.2923373,263.2588169,353.0650734,3.11818244
117.0826557,263.37577,352.7051703,3.116910218
116.8766433,263.4954775,352.344051,3.118694859
116.6749001,263.617468,351.9812951,3.11832061
116.4770631,263.7420731,351.6172716,3.115999359
116.2830094,263.8689937,351.2520179,3.116747006
116.0919848,263.998251,350.8859814,3.118002151
115.9029031,264.1296627,350.5197033,3.121186658
115.7156147,264.2621262,350.1528814,3.126748764
115.5296725,264.3959189,349.7858577,3.131487154
115.3448555,264.5317258,349.4190054,3.140233972
115.1601109,264.6678301,349.0522255,3.151142295
114.9748148,264.8048571,348.6860688,3.15963501
114.7885042,264.9425297,348.3206693,3.168535882
114.599891,265.0807894,347.9566779,3.174479261
114.4092435,265.2188938,347.5936868,3.179322759
114.2157821,265.3571133,347.2322338,3.18575655
114.0189775,265.4947888,346.8723818,3.190741231
113.8185727,265.6320186,346.5143514,3.194974451
113.6134751,265.7682627,346.1586123,3.200254996
113.404537,265.9039953,345.8049151,3.20483597
113.1914734,266.0380593,345.4530487,3.212318573
112.9756399,266.1706316,345.102304,3.218361809
112.7570095,266.3020219,344.7528493,3.2221128
112.5364075,266.4313965,344.4038813,3.224678741
112.3141297,266.5594096,344.0554745,3.221683793
112.090592,266.6847053,343.7068867,3.214282989
111.8663641,266.8076707,343.3579119,3.202537345
111.6421798,266.9285266,343.0081729,3.183391599
111.4174952,267.0458187,342.657544,3.163495709
111.1940568,267.1616102,342.3056211,3.142515446
110.9717032,267.2736061,341.9517897,3.124523517
110.7500304,267.3817171,341.596326,3.116623689
110.5314154,267.4875409,341.2382898,3.117891024
110.3154823,267.5896369,340.8775545,3.130590399
110.101798,267.6866575,340.51409,3.156646914
109.8920193,267.7805202,340.1475338,3.191693825
109.6855545,267.8712444,339.7783146,3.232459973
109.4807571,267.9581374,339.4072493,3.278170215
109.2780613,268.04191,339.0343169,3.321084785
109.0775043,268.1225912,338.6595508,3.363410371
108.8772291,268.2011263,338.2841782,3.404435724
108.6771927,268.2775445,337.9082416,3.441014784
108.4773996,268.3518514,337.5317529,3.472202493
108.2767399,268.4250919,337.1555161,3.496915792
108.074724,268.4964463,336.7796428,3.51012415
107.8715396,268.5674987,336.4043427,3.52042552
107.6658953,268.6377083,336.0302256,3.520215653
107.4579258,268.7076881,335.657353,3.509065124
107.2468228,268.7777089,335.2862532,3.491743789
107.032266,268.8475596,334.9171074,3.469854649
106.812803,268.9183848,334.5510441,3.445860241
106.5900687,268.9899779,334.1871122,3.424807482
106.3624981,269.0625224,333.8263747,3.401306263
106.1313084,269.1359493,333.4681258,3.380102006
105.8972306,269.2103377,333.1119568,3.361975207
105.6610652,269.2844691,332.7571147,3.345468755
105.4234175,269.3597011,332.403496,3.331338613
105.1844928,269.4357068,332.0509047,3.321537675
104.945512,269.5117462,331.6983586,3.313927372
104.7072609,269.5887662,331.3455317,3.312034105
104.4696982,269.6659481,330.9922761,3.315421461
104.2333112,269.7439641,330.6384159,3.321905216
103.9996175,269.8212027,330.282603,3.33310087
103.7681784,269.8994459,329.9255375,3.348250268
103.5400151,269.9776905,329.5663717,3.365769516
103.3167869,270.0561421,329.2041661,3.384692039
103.0980739,270.1339326,328.8390737,3.4016952
102.884344,270.2124291,328.471193,3.416396393
102.6768738,270.2903664,328.0996324,3.428928696
102.4759553,270.3674672,327.7243159,3.437476695
102.2814097,270.4443271,327.3456067,3.44195862
102.0924362,270.5196558,326.9637799,3.444778404
101.9093595,270.5938758,326.578876,3.443493216
101.731532,270.6662073,326.1911605,3.440037913
101.5595616,270.7365362,325.8004478,3.433732488
101.3936175,270.8048546,325.4067836,3.427538021
101.2322234,270.8702204,325.010731,3.422553119
101.0755771,270.9326296,324.6123031,3.419397575
100.9232902,270.991113,324.2115964,3.417102461
100.7757987,271.0464699,323.8086577,3.415895832
100.6334551,271.0979352,323.4033606,3.415530723
100.4945582,271.1453724,322.9963764,3.418996748
100.3597662,271.1879172,322.587479,3.423610144
100.228281,271.2254743,322.1770177,3.429740408
100.100894,271.2580265,321.7648423,3.435651264
99.97662648,271.2856288,321.3513535,3.4404991
99.85508777,271.3083508,320.9367581,3.446291424
99.73610804,271.3269059,320.5212125,3.451197051
99.61910137,271.3415677,320.104951,3.454643938
99.50370165,271.3523445,319.6881226,3.456982719
99.38950666,271.3592634,319.2708806,3.457962012
99.27586564,271.3637434,318.853451,3.459853631
99.16237198,271.3656598,318.435963,3.461590733
99.0489235,271.36537,318.0184571,3.463419269
98.93466879,271.3632012,317.6011773,3.466560652
98.81946246,271.3591664,317.1841728,3.470226142
98.7028185,271.3543385,316.7675766,3.4729436
98.58424071,271.3490213,316.3515329,3.474801191
98.46352435,271.3432515,315.9361112,3.474749185
98.34012505,271.337487,315.5214796,3.473427024
98.21358217,271.3321066,315.1077922,3.470746653
98.08358516,271.3273159,314.6951707,3.468703351
97.94986852,271.3228254,314.2837357,3.466639235
97.8123399,271.3192539,313.8735514,3.466045978
97.67052567,271.3167958,313.4648204,3.46654624
97.52450504,271.3156827,313.0575662,3.470117974
97.3741433,271.314,312.6518959,3.474325293
97.21953526,271.314,312.2478204,3.482055239
97.06005972,271.3140223,311.8456395,3.488228409
96.89584446,271.3149776,311.4453707,3.49227603
96.72649928,271.3159345,311.0472462,3.494856518
96.55207482,271.3168927,310.6513224,3.493903111
96.3721141,271.3187071,310.2578897,3.48922071
96.18688429,271.320631,309.8669112,3.482598501
95.99607331,271.3225591,309.4786285,3.470099115
95.79985515,271.3244885,309.0930503,3.458257811
95.59732583,271.3271392,308.7107604,3.446484737
95.38866431,271.3293688,308.331778,3.433942978
95.17408547,271.3313137,307.9561132,3.42369705
94.95301868,271.3332652,307.5842351,3.414062123
94.72542681,271.3346115,307.2163102,3.404436608
94.49148194,271.3355924,306.8523908,3.396595453
94.25148322,271.3365742,306.4924327,3.386515879
94.00574579,271.3375558,306.1363671,3.377672707
93.75439079,271.3385371,305.7842446,3.371464611
93.49748751,271.339,305.4361488,3.36619729
93.23535221,271.3385028,305.0919729,3.360661984
92.96809744,271.338,304.7517595,3.359064239
92.69585098,271.3375496,304.4155235,3.359171265
92.41916521,271.336155,304.082931,3.362284866
92.13822009,271.3342185,303.7539325,3.36643833
91.85307825,271.3322891,303.4285613,3.37124185
91.56412247,271.3300531,303.106574,3.376874453
91.27159959,271.3271876,302.7878255,3.38503069
90.97573592,271.3241173,302.4721804,3.392613944
90.67619253,271.3203337,302.1600266,3.399044793
90.37405415,271.3164723,301.8503853,3.404913214
90.06877728,271.3117989,301.5438462,3.410181715
89.76092222,271.3071513,301.2398951,3.411468937
89.45072393,271.3034211,300.9383237,3.410523394
89.1380933,271.2997318,300.6392759,3.406181428
88.82323254,271.2967879,300.3425697,3.398871821
88.50664771,271.2946897,300.0476955,3.390932558
88.18805161,271.2934277,299.7549937,3.379621683
87.86761512,271.2939791,299.4643062,3.366654736
87.54567723,271.2966269,299.1752917,3.354132802
87.22223732,271.3009489,298.8879799,3.340712852
86.89733033,271.3074475,298.6023709,3.32510859
86.57124516,271.316999,298.3181912,3.309817233
86.24355218,271.3284818,298.0359384,3.29543063
85.9151946,271.3434254,297.7546197,3.284323171
85.58586756,271.3620894,297.474659,3.274681544
85.25536422,271.3844571,297.1963625,3.267756058
